recipient,amount,reference
0xd30a5eDdbE7277bd9d2cC6374807Ed164bF7DeF6,0.01,BATCH-001
0x79D3D7bBc098971b88EF2fE047Ff0823dEf4fe0c,0.01,BATCH-002
0xfcC2426276df9E066c0eCEeDB490bb0aB5137e0E,0.01,BATCH-003
0x8155b9e53Fe93Cc9d3B7b932613401183F8f80bA,0.01,BATCH-004
0x9BdcB59243D910661911AdeFbE1b3034c5496728,0.01,BATCH-005
0x3464273874E663B6A52BA42056Dbf8f84B19df09,0.01,BATCH-006
0xe7E0eE099Abb407784Ff89946Cc79530a3722c61,0.01,BATCH-007
0x34C007Bb1DEC594f55778a65241382A8539ec81c,0.01,BATCH-008
0xc915215D89cFcF4bb1412815b241c3Ad61b75a5a,0.01,BATCH-009
0xa78e49F6D2a347b6ba198025E1142eB80C0d133A,0.01,BATCH-010
0xda8E3d77A4B956A1e288B1D547EDAe18903a1F4E,0.01,BATCH-011
0x55AA0b676c2C8bFFCeaf36080EC9F00aBfDee977,0.01,BATCH-012
0x04156a1B879c76DD611dF064C5981ff927A5B428,0.01,BATCH-013
0x4F1DC7e03523955Cf929772c1D277d5ab29a431b,0.01,BATCH-014
0x67A720b31bf85fcEb716a0B273C0534116Adf885,0.01,BATCH-015
0xf0e560e0DacFc48332769562890d3f68d610794F,0.01,BATCH-016
0xE318962347765930C55dE8bFD3771cd071995E65,0.01,BATCH-017
0x8dC02d0Cd233954b05eb34f8DE35055cb02688e1,0.01,BATCH-018
0xcc3136B54b6785F0AFBFDc84f52f082d5e81AB2E,0.01,BATCH-019
0xb2fFE48bA54a1775399A98fBe8C1d6B28d69eE44,0.01,BATCH-020
0xEe3F2e84271819BCF633d9C5C8d0A1ACbA3549e3,0.01,BATCH-021
0xF10048aD21356E03FCCec007e2784FFE25da019E,0.01,BATCH-022
0xd09219CEb711a3dF43eb1cf1147c6502C8044A7E,0.01,BATCH-023
0x462Be9829AF32702AE7469672c01F4EF7A14CC76,0.01,BATCH-024
0x73dfc3f6f9f281752296905379d9c3Eeea67c06e,0.01,BATCH-025
0x8CA919B62537d555948De8dF4E2Adf088E69a48b,0.01,BATCH-026
0xd0B2eAE91bE4752F2Da539C901a94b8c888f113B,0.01,BATCH-027
0x08AA67fdcA81329A2BC6c1A074889e93383b929F,0.01,BATCH-028
0xDAe2fE493203046d67a39BB5E90d8945492fDa4E,0.01,BATCH-029
0x3cFc8A02b48160Da884E610bD20A8de1ad0E1f1d,0.01,BATCH-030
0x5C8EF7C4BE559D816B0749ca833f3f114003a128,0.01,BATCH-031
0xA7C8AD01a72C7aAADF547a6407c8b7c67F17bCBc,0.01,BATCH-032
0x3aB156774FBdcd908aDAdE1b702e9567B9685cF0,0.01,BATCH-033
0xC9D9162f8c4037524c65cbA38fc93530e8d1E5B1,0.01,BATCH-034
0x76333CCe18A519bC8958744C0C9F7353CF5B767a,0.01,BATCH-035
0xE13235d82173358E06Ef9b0bbA425D3FAe9CD834,0.01,BATCH-036
0x3D68fa787453974d97335d7f777af7ed8932faa9,0.01,BATCH-037
0xFE55819577ea84682D0eA61C3d6E9C5d88BaD0B9,0.01,BATCH-038
0xCd7cc9EFD771f39cC2bfB8707c18062E8B525917,0.01,BATCH-039
0xa5efebd883e65d5641e4A3B30c17abFbdA9CE282,0.01,BATCH-040
0x7ec48F165C5DC51ED25f617dD499C59F760d34ED,0.01,BATCH-041
0xB3CCEb3a9Ea82968DF532BB1a9f3F26e893a7438,0.01,BATCH-042
0xb108950aa678a8258C99A657bD2fB61505D1f9a3,0.01,BATCH-043
0x8793f06BA4092A2Bd4eC53A193b2355327b8eAA2,0.01,BATCH-044
0xa1E0c00b2ad50553997F0efaF320877781D5314A,0.01,BATCH-045
0xb805d7e0B5014A94F83b34549638D6eACfdf3628,0.01,BATCH-046
0x2e95cACdEEbE3c2719B31fb6cec2B61D2392A9A4,0.01,BATCH-047
0x61a585eEfcCD0Ac960FB686E323D3cfa0139D237,0.01,BATCH-048
0x72CF18E3Efcce0Cc8965cea7F5f186aebc11b8cB,0.01,BATCH-049
0xC7492ea6cDd1675EF0bf4EAf1c5E8818bcE73Da3,0.01,BATCH-050
0xa41221B981b06B17481E477EA7988E7409701Cf1,0.01,BATCH-051
0xfb75dBC41CF3E7275797C78f536633BefeFb12c8,0.01,BATCH-052
0xCDf54CB7e9151cE04023aE749249b64ecd22300f,0.01,BATCH-053
0x34aF1c1F0dBEbBE0F42F718F26fBDD750Cbe7BEa,0.01,BATCH-054
0x797845EC8a255728d16187D5615aF26155feBcA9,0.01,BATCH-055
0xbb1624ed4EC630A52819ff740a88cEAC7EC9a612,0.01,BATCH-056
0x77539e89b1F1b89932065E96284DE22Cb7F98C4b,0.01,BATCH-057
0xc45AFA42ca431D84C683610F269bb5Ca4dE3ba44,0.01,BATCH-058
0x45F2B1AA07Ff59bEf08b0D3fbd56AcBB4e04B915,0.01,BATCH-059
0x9d106696159fCFc5220a894D0AaFcFB7673Dd063,0.01,BATCH-060
0x2BdE43807605911B295C5f3Df7324E6b54956F32,0.01,BATCH-061
0x62DABc29C1987171bC45A4108C2BF7A640Ac6656,0.01,BATCH-062
0xFEb6d681484aD508F2a9Db3E2E395CE2Bd4d0564,0.01,BATCH-063
0x03009B0e9593Aa5a7caD02986FF60e59b8F8731e,0.01,BATCH-064
0x1336045Ae9B430125e43D5d518cd7D2A1bdF124D,0.01,BATCH-065
0x27460f5A28Ab502c2541989e491328fDC3eb25dc,0.01,BATCH-066
0xeE172a884eA8F2F72767943dC772346F4f9F956f,0.01,BATCH-067
0x9a40BF32168DeDb6b55de0C637B8222a13778409,0.01,BATCH-068
0x20a56a84C013eF8F54c2C5C289c39dEeC3f99751,0.01,BATCH-069
0x2F09E879AA3Ad0277368A0F9BE83956BF189456D,0.01,BATCH-070
0x3A0ad78C3b473F4662d289B8A8535218Cd1031D8,0.01,BATCH-071
0x6753Dfe56BEaB11F50fE906857c3A949A9741CAC,0.01,BATCH-072
0x53f089aa472B458deb8513b283C6ae2372B19CC4,0.01,BATCH-073
0x97154c95f4D53135e874Ed3fefd1DD3c26756888,0.01,BATCH-074
0x662cBE59Dc27421816ac0f02cc14093fbA93633e,0.01,BATCH-075
0xC1d9E0e7e16ba4DE75b8eb44C05c4950660F46E9,0.01,BATCH-076
0x98021101AADC8174d42FaA91566519f46Da6702f,0.01,BATCH-077
0xB06bBd208D71bCEEe7fEAb460632c1C49c75ff09,0.01,BATCH-078
0xF8DcE703ff5687eC6A813E6E362c1db37cDB7E67,0.01,BATCH-079
0x6A0b59771ABad4E85Cc9896cfF2ad6e22Ff350a8,0.01,BATCH-080
0xCD1CEC01571C0Aab8873D3fE62CbCe90EE49d36f,0.01,BATCH-081
0xD5EF4D2DD7eDCdc2c2b02AD6e3fE5Ba93E4FDC23,0.01,BATCH-082
0x43596C1600DAf0cF4333F8A3891c3a2ced6D94Cd,0.01,BATCH-083
0x7BfED5a248ea4e446aa8ED9c846AD81ED5a30368,0.01,BATCH-084
0xA1CAd59032e80DeFF768B1d640ecE8A971738a98,0.01,BATCH-085
0xD470481EB17c1C839BcaC616542A05cD6411Fb9A,0.01,BATCH-086
0x0ca14168846F6a4F5C0910833f072250B16c9DA8,0.01,BATCH-087
0xdCf9C9495e2f2ce6d9F369C279cAa910bb08c9d1,0.01,BATCH-088
0x2562e7714DABd126a86228f03eDfE98985f9fF0d,0.01,BATCH-089
0xF18540FEA2C2737BF654fbc4D680baCc4FA4d132,0.01,BATCH-090
0x9C587f9F96B716FcCB33038b645723EF53565Be1,0.01,BATCH-091
0x5b2D8Dca48C747fD58F5EA632E2A67dc2e6cA9A7,0.01,BATCH-092
0x0A10d2Ac2848d4FCa8b8Df08654224667708E6F6,0.01,BATCH-093
0x55603044b835d99C638D8f4d516166924E08AeA0,0.01,BATCH-094
0xFCa193B5807E4B6003468477647E4c44bbCC29De,0.01,BATCH-095
0xb50940B923e7adD5b68a393C44CbafB5c3a9f77B,0.01,BATCH-096
0x7085136c9F6D65EedEA82fa152388318bAd9f09e,0.01,BATCH-097
0x5aF4dC1B306A53CdE61239D2a7171e37e468DE07,0.01,BATCH-098
0x868D9926C03ac994c9e8342233CF4b50c09c3aC9,0.01,BATCH-099
0x20255d9C515bE332Ce9dD15dC14160eD47ed2f8c,0.01,BATCH-100
0xb5B10abB371A8d0A4Aa263BD98979474F2Efb7a5,0.01,BATCH-101
0x21aA56e16436888C2fa80F2dB3273e7D0C54540A,0.01,BATCH-102
0xD1128BB1841aB28CCF6407de5108e42aA493396c,0.01,BATCH-103
0x0125E6Ab4555Ae1EB40F967e69f7e401829C8e3A,0.01,BATCH-104
0xFA49D1e7c0747D3F2b4D59718028A611072e5042,0.01,BATCH-105
0x5c454A1fD57aE2f4B53a651F9845084B0C82f6b2,0.01,BATCH-106
0x69716978726CD99804C463d2450d896b62aC924d,0.01,BATCH-107
0x07CdeA54748c2dF8cEB694922E2801B4f7b5a6f3,0.01,BATCH-108
0x65B35514c5db1D465eAC1017bBF960d209a56142,0.01,BATCH-109
0x0FBC3801b05F13AA66E32Ce30A1cE1F1c7A5a0D0,0.01,BATCH-110
0x20961e257D1828a203a6D073479bbc0c0C453FD6,0.01,BATCH-111
0x95C249B388A7582E61eb8295c37bfD161da140bc,0.01,BATCH-112
0x8d28E7807cbE76c98E807167D382ef31Eb257Efe,0.01,BATCH-113
0xECd3a55Bd535C69c9ED539E611d9E5943904f1D2,0.01,BATCH-114
0x69d80786E9d7ee3740E0022519f99812BbFc8138,0.01,BATCH-115
0x075850cf4F4C377893CeB6F538FfD0196BC04A50,0.01,BATCH-116
0x87D7Cea3dbbA4Fc65c7e65b03E06dFFe0E4960f8,0.01,BATCH-117
0x61b30dD4d789E547Fb9fB98BB3992A19CEB500Ad,0.01,BATCH-118
0x26C7EE92963613Cc7720E3F97Eb3CAC75b7a66C4,0.01,BATCH-119
0x6e8C4F78b683b4dd5A5dCB348693BC10BDEf1B25,0.01,BATCH-120
